driverId,avg_change,consistency,avg_finish,avg_qual,cluster,db_cluster,cluster_name
1,-0.9466292134831461,6.054677147986953,5.019662921348314,4.073033707865169,0,0,Underperformers
2,0.7428571428571429,5.065572085656722,10.357142857142858,11.1,0,0,Underperformers
3,-1.4174757281553398,5.735680829036666,8.25242718446602,6.834951456310679,0,0,Underperformers
4,-0.06976744186046512,5.4347558060289325,8.209302325581396,8.13953488372093,0,0,Underperformers
5,0.5982142857142857,4.857352226920614,13.285714285714286,13.883928571428571,1,0,Race Improvers
6,0.9444444444444444,4.381418194697396,13.083333333333334,14.027777777777779,1,0,Race Improvers
7,0.7407407407407407,5.324779465224486,14.148148148148149,14.88888888888889,1,0,Race Improvers
8,-0.5638629283489096,6.355347357238049,8.218068535825545,7.654205607476635,0,0,Underperformers
9,-0.06060606060606061,5.064518797413102,10.646464646464647,10.585858585858587,0,0,Underperformers
10,1.9787234042553192,4.145158397181696,15.138297872340425,17.117021276595743,1,0,Race Improvers
11,0.8947368421052632,5.907236121613156,13.421052631578947,14.31578947368421,1,0,Race Improvers
12,0.6071428571428571,5.940066627100367,13.392857142857142,14.0,1,0,Race Improvers
13,-0.490272373540856,5.712590836577381,8.848249027237355,8.357976653696499,0,0,Underperformers
14,-1.5393939393939393,6.747625571263055,10.733333333333333,9.193939393939393,0,0,Underperformers
15,-1.2849462365591398,5.9174034889593194,12.311827956989248,11.026881720430108,0,0,Underperformers
16,0.3203125,4.54190218874493,14.5234375,14.84375,1,0,Race Improvers
17,-2.133663366336634,6.500436682273224,9.450495049504951,7.316831683168317,0,0,Underperformers
18,0.10266159695817491,5.396573742296001,9.2319391634981,9.334600760456274,0,0,Underperformers
19,0.9545454545454546,4.19157059695576,16.045454545454547,17.0,1,0,Race Improvers
20,-0.842809364548495,6.163219556568008,7.090301003344481,6.247491638795987,0,0,Underperformers
21,0.7612903225806451,5.253426675109294,10.696774193548388,11.458064516129033,0,0,Underperformers
22,-1.163716814159292,6.051241370487035,10.43362831858407,9.269911504424778,0,0,Underperformers
23,-2.0654205607476634,6.940815878361068,10.327102803738319,8.261682242990654,0,0,Underperformers
24,1.1358024691358024,4.724280597137921,15.91358024691358,17.049382716049383,1,0,Race Improvers
25,1.9705882352941178,5.654096364946376,11.0,12.970588235294118,1,0,Race Improvers
26,2.2142857142857144,5.065183575753662,15.071428571428571,17.285714285714285,1,0,Race Improvers
27,2.8043478260869565,4.008987487674226,15.673913043478262,18.47826086956522,2,0,Consistent Climbers
29,3.4761904761904763,2.803908836232869,18.523809523809526,22.0,2,0,Consistent Climbers
30,-1.6197916666666667,6.740222622695069,7.286458333333333,5.666666666666667,0,0,Underperformers
31,-2.046875,6.931477974051559,8.078125,6.03125,0,0,Underperformers
32,-0.2549019607843137,4.502635393877243,13.666666666666666,13.411764705882353,1,0,Race Improvers
33,3.6216216216216215,3.9675863874327604,14.432432432432432,18.054054054054053,1,0,Race Improvers
34,4.5,3.3166247903554,17.25,21.75,2,0,Consistent Climbers
35,-1.3734939759036144,5.929897057004497,10.91566265060241,9.542168674698795,0,0,Underperformers
36,2.5714285714285716,2.370453040886408,18.714285714285715,21.285714285714285,2,0,Consistent Climbers
37,0.9074074074074074,5.526159123756406,15.962962962962964,16.87037037037037,1,0,Race Improvers
38,2.090909090909091,2.5477262590217755,14.818181818181818,16.90909090909091,2,0,Consistent Climbers
39,2.382978723404255,3.5664693995320267,18.425531914893618,20.80851063829787,2,0,Consistent Climbers
