driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,race_count,year,cluster,cluster_name
14,-2.75,0.375,5.496752287877426,-9.2,2.3,5.625,8.375,-0.4888888888888889,8,1994,1,Volatile Drivers
22,-2.7333333333333334,0.4666666666666667,8.924017886473292,-13.6,7.999999999999998,9.333333333333334,12.066666666666666,-0.29285714285714287,15,1994,1,Volatile Drivers
30,-3.769230769230769,0.3076923076923077,6.869665762779706,-14.399999999999999,1.0,1.8461538461538463,5.615384615384615,-2.0416666666666665,13,1994,1,Volatile Drivers
44,5.133333333333334,0.8,6.057659456856096,-3.1999999999999997,11.2,15.133333333333333,10.0,0.3392070484581498,15,1994,2,Underperformers
49,-5.266666666666667,0.26666666666666666,8.08408194864333,-15.0,6.0,8.733333333333333,14.0,-0.6030534351145038,15,1994,1,Volatile Drivers
50,-3.1,0.5,8.887569346502389,-14.1,5.399999999999999,10.6,13.7,-0.29245283018867924,10,1994,1,Volatile Drivers
55,-5.461538461538462,0.38461538461538464,9.752054352933236,-20.0,3.6000000000000014,5.846153846153846,11.307692307692308,-0.9342105263157896,13,1994,1,Volatile Drivers
56,-6.6923076923076925,0.38461538461538464,9.902732075750741,-18.0,6.0,9.23076923076923,15.923076923076923,-0.7250000000000001,13,1994,1,Volatile Drivers
57,-3.357142857142857,0.5,7.840792177964033,-12.1,5.700000000000001,6.571428571428571,9.928571428571429,-0.5108695652173914,14,1994,1,Volatile Drivers
65,2.533333333333333,0.6666666666666666,12.176480060619598,-18.2,13.2,16.333333333333332,13.8,0.15510204081632653,15,1994,0,Consistent Climbers
70,1.2,0.5,8.011103405759894,-5.7,9.499999999999998,19.6,18.4,0.06122448979591836,10,1994,0,Consistent Climbers
71,-1.8666666666666667,0.4666666666666667,5.841558826529912,-10.999999999999998,2.0,2.6,4.466666666666667,-0.717948717948718,15,1994,1,Volatile Drivers
77,-6.0,0.26666666666666666,9.211793682944862,-17.2,2.5999999999999996,6.0,12.0,-1.0,15,1994,1,Volatile Drivers
79,-4.8,0.4666666666666667,8.7765922446341,-16.599999999999998,4.6,11.266666666666667,16.066666666666666,-0.42603550295857984,15,1994,1,Volatile Drivers
81,-2.3333333333333335,0.3333333333333333,7.2571803523590805,-8.6,7.6,14.466666666666667,16.8,-0.16129032258064516,15,1994,0,Consistent Climbers
84,-2.8666666666666667,0.4666666666666667,7.77235638719197,-12.799999999999999,5.6,11.0,13.866666666666667,-0.2606060606060606,15,1994,1,Volatile Drivers
87,-0.4,0.5333333333333333,7.079144419651693,-9.6,7.0,12.733333333333333,13.133333333333333,-0.03141361256544503,15,1994,0,Consistent Climbers
94,3.3333333333333335,0.7333333333333333,5.340768626687503,-3.5999999999999996,10.2,16.066666666666666,12.733333333333333,0.2074688796680498,15,1994,2,Underperformers
100,4.714285714285714,0.5714285714285714,7.897697536220692,-4.4,15.100000000000003,20.142857142857142,15.428571428571429,0.23404255319148937,14,1994,2,Underperformers
101,8.733333333333333,1.0,4.963677592077797,2.0,14.6,24.333333333333332,15.6,0.35890410958904106,15,1994,2,Underperformers
103,7.076923076923077,0.9230769230769231,4.071476768559914,3.2,11.0,18.46153846153846,11.384615384615385,0.38333333333333336,13,1994,2,Underperformers
104,5.466666666666667,0.8666666666666667,5.475486497193868,0.8000000000000003,11.0,16.933333333333334,11.466666666666667,0.3228346456692913,15,1994,2,Underperformers
105,2.1333333333333333,0.5333333333333333,5.755328793718872,-3.5999999999999996,8.2,18.733333333333334,16.6,0.11387900355871886,15,1994,2,Underperformers
106,5.0,0.6666666666666666,8.514693182963201,-3.3999999999999995,16.2,22.666666666666668,17.666666666666668,0.22058823529411764,9,1994,2,Underperformers
109,-1.4285714285714286,0.42857142857142855,12.259107401671391,-13.6,12.200000000000001,13.571428571428571,15.0,-0.10526315789473685,7,1994,1,Volatile Drivers
110,-3.0,0.2,5.617433182117573,-10.1,5.199999999999999,15.7,18.7,-0.1910828025477707,10,1994,0,Consistent Climbers
111,11.0,1.0,5.507570547286102,4.2,17.0,25.714285714285715,14.714285714285714,0.42777777777777776,7,1994,2,Underperformers
14,-7.705882352941177,0.11764705882352941,8.586069428748763,-18.4,0.40000000000000036,2.6470588235294117,10.352941176470589,-2.9111111111111114,17,1995,1,Volatile Drivers
22,-2.588235294117647,0.29411764705882354,6.315247654777797,-10.0,7.0,9.529411764705882,12.117647058823529,-0.271604938271605,17,1995,0,Consistent Climbers
30,-3.0,0.47058823529411764,8.923284148787374,-12.8,2.0,2.9411764705882355,5.9411764705882355,-1.02,17,1995,1,Volatile Drivers
44,0.8823529411764706,0.5294117647058824,7.598374439157829,-8.8,9.4,11.647058823529411,10.764705882352942,0.07575757575757576,17,1995,0,Consistent Climbers
49,0.9411764705882353,0.5882352941176471,6.368580966699864,-7.6,7.4,10.352941176470589,9.411764705882353,0.0909090909090909,17,1995,0,Consistent Climbers
50,-1.0,0.4,4.898979485566356,-5.8,4.0,18.8,19.8,-0.05319148936170213,5,1995,0,Consistent Climbers
55,-4.9411764705882355,0.4117647058823529,8.706826260435646,-16.4,4.0,5.0588235294117645,10.0,-0.9767441860465117,17,1995,1,Volatile Drivers
56,-4.705882352941177,0.23529411764705882,7.077823693431061,-15.2,2.4000000000000004,7.588235294117647,12.294117647058824,-0.6201550387596899,17,1995,1,Volatile Drivers
